Disease,Cough,Breathlessness,Wheezing,Shortness of Breath,Fever,Chest Pain,Headache,Fatigue,Sneezing,Itchy Eyes
Bronchitis,0,1,0,1,1,0,1,0,1,1
Bronchitis,1,0,1,0,1,0,0,1,1,0
Bronchitis,1,1,0,1,1,1,0,0,0,1
Bronchitis,0,1,0,1,1,1,1,1,0,0
Bronchitis,1,0,1,0,0,1,1,0,1,1
Bronchitis,1,1,0,0,1,1,0,0,1,1
Bronchitis,1,1,0,0,0,0,1,0,0,0
Bronchitis,1,0,0,1,1,1,0,1,1,1
Bronchitis,1,1,1,0,1,1,0,0,1,0
Bronchitis,1,0,1,1,0,1,0,1,0,0
Bronchitis,1,0,1,1,1,1,1,0,1,0
Bronchitis,1,0,0,0,1,1,1,0,0,1
Bronchitis,1,1,1,1,1,1,1,0,0,1
Bronchitis,1,1,0,0,0,1,0,0,1,0
Bronchitis,1,0,1,1,1,1,0,1,0,1
Bronchitis,1,0,1,0,0,1,1,0,0,1
Bronchitis,1,1,0,1,0,0,1,0,1,1
Bronchitis,1,1,0,0,0,1,0,0,1,1
Bronchitis,1,0,1,0,1,0,0,1,0,1
Bronchitis,1,1,0,1,0,1,1,0,1,0
Bronchitis,1,0,1,1,0,0,1,1,1,1
Bronchitis,1,0,1,1,0,0,0,0,1,0
Bronchitis,1,1,1,1,1,1,0,1,0,0
Bronchitis,0,1,0,1,1,1,1,1,0,1
Bronchitis,1,0,1,1,1,1,0,1,1,1
Bronchitis,1,0,1,0,1,0,1,0,1,1
Bronchitis,1,1,1,0,1,0,1,0,0,0
Bronchitis,0,1,1,0,0,1,0,0,1,0
Bronchitis,1,0,0,1,1,0,0,0,1,0
Bronchitis,0,1,1,0,1,0,0,1,0,1
Bronchitis,1,1,1,0,0,0,0,0,1,1
Bronchitis,1,1,0,1,1,0,0,1,1,1
Bronchitis,1,1,1,1,1,0,1,0,1,0
Bronchitis,1,0,0,1,1,1,0,1,1,1
Bronchitis,1,1,0,0,0,1,0,0,0,0
Bronchitis,1,0,1,0,1,1,1,1,1,0
Bronchitis,1,1,0,0,1,0,0,0,1,0
Bronchitis,1,1,0,1,0,0,1,1,1,0
Bronchitis,1,1,1,1,0,1,1,0,1,0
Bronchitis,1,0,1,0,1,0,1,1,1,0
Bronchitis,1,1,0,0,1,1,1,1,1,1
Bronchitis,1,1,0,1,1,1,0,1,0,1
Bronchitis,1,0,1,1,1,0,1,0,0,0
Bronchitis,1,0,1,0,1,1,1,0,1,0
Bronchitis,1,1,0,0,1,0,1,1,0,0
Bronchitis,1,1,0,1,1,0,0,1,0,0
Bronchitis,1,1,0,1,0,0,0,1,0,0
Bronchitis,1,0,0,0,1,0,1,1,1,0
Bronchitis,1,1,1,0,1,1,1,0,0,1
Bronchitis,1,1,0,0,1,0,1,0,1,0
Bronchitis,1,1,1,0,0,0,1,1,1,0
Bronchitis,1,1,0,1,1,0,0,0,1,1
Bronchitis,1,1,1,1,1,1,0,1,0,0
Bronchitis,1,0,1,1,1,0,1,0,1,0
Bronchitis,1,1,0,1,1,0,1,1,0,1
Bronchitis,0,0,1,0,0,0,0,1,0,1
Bronchitis,1,1,0,1,1,0,0,0,1,0
Bronchitis,1,1,0,0,1,1,1,1,1,1
Bronchitis,1,1,0,0,1,0,0,0,0,0
Bronchitis,1,0,0,0,1,1,0,1,1,1
Bronchitis,1,0,0,0,1,1,0,0,0,0
Bronchitis,1,0,1,1,0,0,0,0,1,1
Bronchitis,1,1,0,1,1,1,1,0,0,1
Bronchitis,1,0,1,0,1,1,0,1,1,1
Bronchitis,1,1,1,1,0,0,1,1,0,0
Bronchitis,0,1,0,1,1,0,1,0,1,1
Bronchitis,1,0,0,0,1,0,0,0,1,0
Bronchitis,1,1,1,0,1,1,0,1,1,0
Bronchitis,1,1,0,0,0,1,0,1,0,0
Bronchitis,1,0,1,1,1,1,1,1,0,0
Bronchitis,1,1,0,0,0,1,0,0,1,0
Bronchitis,1,0,1,1,1,0,0,0,0,0
Bronchitis,1,1,1,1,1,1,0,1,1,0
Bronchitis,0,0,0,0,0,0,1,1,1,1
Bronchitis,1,0,0,1,1,0,0,1,0,1
Bronchitis,1,0,1,0,1,1,1,1,1,0
Bronchitis,0,0,1,1,1,1,1,1,1,0
Bronchitis,1,1,1,0,1,1,1,0,0,1
Bronchitis,1,1,1,1,1,0,0,0,0,0
Bronchitis,1,0,0,0,1,0,0,0,0,0
Bronchitis,1,1,0,1,1,0,1,1,0,1
Bronchitis,1,0,1,0,0,0,0,0,1,0
Bronchitis,1,1,1,0,1,1,0,0,1,0
Bronchitis,1,0,0,1,0,1,1,0,1,0
Bronchitis,1,1,1,0,1,0,1,1,0,1
Bronchitis,1,1,1,0,0,1,1,0,1,1
Bronchitis,1,0,1,0,1,0,0,0,1,1
Bronchitis,1,1,1,1,1,0,0,0,1,0
Bronchitis,1,0,1,0,0,1,0,0,0,1
Bronchitis,1,0,0,0,1,0,1,0,0,0
Bronchitis,1,1,1,1,1,0,1,1,0,1
Bronchitis,1,1,0,1,1,1,1,1,1,1
Bronchitis,1,1,1,0,1,1,0,0,0,1
Bronchitis,1,1,0,0,1,1,1,0,1,0
Bronchitis,1,1,1,1,1,0,1,1,0,1
Bronchitis,1,1,0,0,1,0,0,0,0,0
Bronchitis,1,0,1,1,0,0,1,1,1,1
Bronchitis,1,1,0,1,1,0,1,0,0,1
Bronchitis,1,1,0,0,1,1,1,1,1,1
Bronchitis,1,1,1,0,1,1,1,1,1,0
Bronchitis,1,0,0,1,1,0,1,1,1,1
Bronchitis,1,0,1,1,1,1,0,1,1,0
Bronchitis,1,1,0,0,1,0,0,1,1,0
Bronchitis,1,0,0,1,1,1,1,1,1,1
Bronchitis,1,0,1,1,0,1,0,0,0,1
Bronchitis,1,1,0,0,1,0,1,1,1,0
Bronchitis,1,0,0,0,1,0,0,1,0,1
Bronchitis,1,1,1,0,1,0,1,0,1,0
Bronchitis,0,0,0,1,0,1,0,0,1,1
Bronchitis,1,1,0,0,1,1,1,1,0,1
Bronchitis,1,1,1,0,1,1,0,1,1,1
Bronchitis,1,1,1,0,1,0,0,0,1,1
Bronchitis,1,1,0,1,1,0,1,1,0,1
Bronchitis,1,1,0,0,1,0,0,0,1,1
Bronchitis,1,0,1,1,1,0,1,0,0,1
Bronchitis,1,0,1,1,0,1,1,0,1,0
Bronchitis,1,0,1,1,1,1,0,1,1,1
Bronchitis,1,0,1,0,1,0,1,0,1,1
Bronchitis,1,1,0,1,1,1,1,0,0,1
Bronchitis,1,1,0,1,1,1,1,0,1,0
Bronchitis,1,1,0,1,0,0,1,1,0,0
Bronchitis,0,1,0,0,0,1,1,0,1,1
Bronchitis,1,1,0,1,0,1,0,0,1,0
Bronchitis,1,1,1,0,1,0,1,1,0,0
Bronchitis,1,1,0,0,1,1,1,0,1,1
Bronchitis,1,1,1,1,0,1,0,1,0,1
Bronchitis,1,0,0,0,1,0,1,0,1,0
Bronchitis,0,0,0,1,0,1,1,1,1,0
Bronchitis,1,1,1,0,0,1,1,0,1,1
Bronchitis,1,1,0,1,1,0,1,1,1,1
Bronchitis,1,1,0,0,1,0,1,1,0,1
Bronchitis,1,1,0,1,0,0,0,1,1,1
Bronchitis,1,0,0,0,1,1,0,1,0,1
Bronchitis,0,1,0,0,1,1,1,1,0,0
Bronchitis,1,0,0,1,1,1,1,0,1,1
Bronchitis,1,0,1,0,0,0,1,0,1,0
Bronchitis,1,1,1,0,1,0,1,1,1,0
Bronchitis,1,1,0,0,1,0,1,0,1,1
Bronchitis,1,0,0,1,0,0,1,1,0,1
Bronchitis,1,1,1,1,0,1,0,0,0,0
Bronchitis,1,1,1,1,1,0,1,1,0,1
Bronchitis,1,1,0,0,1,1,1,1,1,0
Bronchitis,1,1,0,1,1,1,1,0,1,0
Bronchitis,1,1,1,0,1,0,1,1,0,1
Bronchitis,0,0,1,1,1,1,0,1,1,0
Bronchitis,1,1,1,0,0,1,0,1,0,1
Bronchitis,1,1,0,1,1,0,1,1,0,0
Bronchitis,1,0,1,1,1,0,1,0,0,1
Bronchitis,0,1,1,1,1,1,1,1,1,1
Bronchitis,1,1,1,0,0,0,0,0,0,0
Bronchitis,0,1,1,0,1,0,0,1,0,0
Bronchitis,1,1,1,1,1,1,0,0,0,0
Bronchitis,1,1,1,0,1,0,0,0,0,0
Bronchitis,1,0,0,0,1,1,0,1,0,1
Bronchitis,1,1,0,0,0,1,0,1,1,1
Bronchitis,1,1,1,0,0,0,1,0,0,0
Bronchitis,0,1,0,0,1,0,1,0,0,1
Bronchitis,1,0,1,0,1,0,1,0,0,0
Bronchitis,1,1,1,1,1,0,0,1,1,0
Bronchitis,0,1,0,0,1,0,1,0,0,0
Bronchitis,1,0,0,1,0,0,1,0,1,1
Bronchitis,1,1,1,1,0,0,1,0,1,1
Bronchitis,1,0,0,1,0,0,0,0,1,0
Bronchitis,1,1,0,0,1,1,1,0,0,1
Bronchitis,1,0,0,0,1,1,1,1,1,1
Bronchitis,1,0,1,1,1,0,0,0,0,1
Bronchitis,0,1,0,1,0,0,1,1,0,0
Bronchitis,1,1,1,0,0,1,0,0,1,1
Bronchitis,1,1,1,0,1,1,0,1,1,0
Bronchitis,1,1,1,1,1,0,0,0,0,1
Bronchitis,1,1,0,0,1,1,1,1,1,0
Bronchitis,1,1,0,0,0,1,0,1,1,0
Bronchitis,0,1,0,1,0,0,0,1,1,1
Bronchitis,1,1,1,1,1,1,1,0,0,1
Bronchitis,1,1,1,0,0,1,0,0,0,0
Bronchitis,0,1,1,1,1,0,0,1,1,0
Bronchitis,1,1,1,0,0,1,1,0,0,1
Bronchitis,1,1,1,0,1,1,1,0,0,1
Bronchitis,1,1,1,0,0,1,0,1,0,1
Bronchitis,1,1,0,0,1,1,0,1,1,0
Bronchitis,1,1,1,0,1,1,0,0,0,0
Bronchitis,1,0,1,0,1,0,1,0,1,1
Bronchitis,1,1,1,1,0,1,1,0,0,0
Bronchitis,1,1,0,0,0,0,0,0,0,0
Bronchitis,1,1,0,0,1,0,0,1,0,1
Bronchitis,1,0,1,1,1,0,1,0,1,1
Bronchitis,1,0,0,1,1,1,1,0,0,0
Allergic Rhinitis,1,1,0,0,1,1,0,1,1,1
Allergic Rhinitis,1,1,0,0,0,0,1,1,1,0
Allergic Rhinitis,1,0,1,0,1,1,0,1,1,0
Allergic Rhinitis,1,1,1,0,0,0,1,1,0,0
Allergic Rhinitis,1,0,0,0,1,0,0,1,1,0
Allergic Rhinitis,0,1,0,0,0,0,1,0,1,0
Allergic Rhinitis,1,0,0,1,0,1,0,0,1,1
Allergic Rhinitis,1,0,0,0,0,1,1,1,0,0
Allergic Rhinitis,1,0,0,1,0,1,1,0,0,1
Allergic Rhinitis,1,1,0,0,1,0,0,0,0,0
Allergic Rhinitis,1,0,1,0,1,0,0,1,0,0
Allergic Rhinitis,0,0,0,0,1,1,1,0,1,1
Allergic Rhinitis,0,0,0,0,0,0,1,1,0,0
Allergic Rhinitis,0,0,1,0,0,0,1,0,1,0
Allergic Rhinitis,1,0,1,1,0,0,1,0,0,0
Allergic Rhinitis,1,1,0,0,0,0,1,1,0,0
Allergic Rhinitis,0,1,1,1,0,0,0,1,0,0
Allergic Rhinitis,0,1,0,1,1,1,0,1,1,1
Allergic Rhinitis,1,1,0,1,0,1,1,0,1,0
Allergic Rhinitis,1,1,1,1,0,1,0,1,0,1
Allergic Rhinitis,0,0,1,1,1,1,0,1,0,0
Allergic Rhinitis,0,0,0,1,0,1,1,0,1,1
Allergic Rhinitis,1,0,1,0,0,1,1,0,1,0
Allergic Rhinitis,1,1,1,0,1,0,1,0,1,0
Allergic Rhinitis,1,0,0,0,1,0,0,1,1,0
Allergic Rhinitis,1,1,1,0,0,1,1,1,0,1
Allergic Rhinitis,1,1,1,1,1,1,0,1,0,1
Allergic Rhinitis,1,1,1,1,0,0,0,0,1,0
Allergic Rhinitis,1,0,1,1,0,0,1,1,1,1
Allergic Rhinitis,0,0,0,1,0,0,1,0,0,0
Allergic Rhinitis,0,1,1,0,0,1,0,1,1,0
Allergic Rhinitis,0,1,1,0,1,1,0,0,0,1
Allergic Rhinitis,1,1,0,0,1,0,0,1,0,1
Allergic Rhinitis,0,0,0,1,0,1,0,0,1,1
Allergic Rhinitis,0,1,1,1,0,1,1,0,1,1
Allergic Rhinitis,1,0,1,1,0,1,0,0,1,0
Allergic Rhinitis,0,0,1,1,1,1,0,0,1,1
Allergic Rhinitis,1,1,0,0,0,0,1,0,0,0
Allergic Rhinitis,0,0,1,1,0,1,1,1,0,1
Allergic Rhinitis,0,1,0,1,1,0,1,1,0,1
Allergic Rhinitis,1,0,0,1,1,1,1,1,0,1
Allergic Rhinitis,0,0,0,1,0,0,1,0,1,1
Allergic Rhinitis,1,1,1,1,1,1,0,0,0,0
Allergic Rhinitis,0,0,0,1,0,0,1,0,1,0
Allergic Rhinitis,0,0,1,1,1,1,1,0,1,0
Allergic Rhinitis,0,0,0,0,1,1,0,1,1,1
Allergic Rhinitis,0,1,0,1,0,1,1,0,0,1
Allergic Rhinitis,0,0,1,1,1,1,0,0,1,0
Allergic Rhinitis,1,1,1,1,0,1,0,1,0,0
Allergic Rhinitis,0,0,0,1,0,1,0,1,0,1
Allergic Rhinitis,0,1,0,1,1,0,0,1,1,1
Allergic Rhinitis,0,1,0,1,0,1,1,1,0,1
Allergic Rhinitis,0,1,0,1,0,1,1,0,0,1
Allergic Rhinitis,0,1,1,0,1,1,0,0,1,1
Allergic Rhinitis,0,0,0,0,0,0,1,1,0,0
Allergic Rhinitis,1,1,0,1,1,1,0,0,1,1
Allergic Rhinitis,1,1,0,0,0,1,1,1,1,1
Allergic Rhinitis,0,0,0,0,1,1,1,1,0,0
Allergic Rhinitis,1,0,1,1,1,1,0,1,1,0
Allergic Rhinitis,1,1,0,1,0,1,1,1,0,0
Allergic Rhinitis,1,1,1,1,1,1,0,0,0,0
Allergic Rhinitis,1,0,0,1,0,1,1,1,0,1
Allergic Rhinitis,1,1,1,1,1,0,0,1,1,0
Allergic Rhinitis,0,0,1,1,1,1,1,1,0,0
Allergic Rhinitis,1,1,0,1,1,1,0,0,0,1
Allergic Rhinitis,1,0,1,0,0,1,0,1,1,1
Allergic Rhinitis,1,1,1,1,1,1,1,0,1,0
Allergic Rhinitis,1,1,0,1,1,1,1,1,1,1
Allergic Rhinitis,0,1,0,1,1,1,0,1,0,1
Allergic Rhinitis,0,1,1,0,0,1,0,0,0,1
Allergic Rhinitis,0,1,0,0,0,0,1,0,0,0
Allergic Rhinitis,1,1,1,1,1,0,1,0,1,0
Allergic Rhinitis,0,0,0,1,0,0,1,0,0,0
Allergic Rhinitis,0,1,0,0,1,0,1,0,0,1
Allergic Rhinitis,1,0,1,0,0,0,1,0,0,1
Allergic Rhinitis,0,1,1,0,0,0,0,1,1,1
Allergic Rhinitis,0,1,1,1,0,1,0,1,1,0
Allergic Rhinitis,1,0,1,1,0,0,1,0,0,1
Allergic Rhinitis,1,0,0,1,1,1,1,0,0,1
Allergic Rhinitis,0,1,0,1,0,0,0,0,0,0
Allergic Rhinitis,1,0,1,0,1,0,1,0,0,1
Allergic Rhinitis,0,1,1,1,0,0,0,1,1,1
Allergic Rhinitis,0,0,0,1,1,1,1,0,1,1
Allergic Rhinitis,0,1,1,0,1,0,1,1,0,0
Allergic Rhinitis,0,1,1,0,0,0,0,0,0,0
Allergic Rhinitis,0,0,0,1,1,0,0,1,1,1
Allergic Rhinitis,1,1,1,0,1,0,1,0,0,1
Allergic Rhinitis,1,0,1,1,0,0,1,0,0,1
Allergic Rhinitis,0,0,0,0,1,1,1,0,0,0
Allergic Rhinitis,0,0,0,0,1,1,0,0,1,1
Allergic Rhinitis,1,0,1,0,1,0,1,0,1,0
Allergic Rhinitis,0,1,1,1,0,0,0,0,0,0
Allergic Rhinitis,0,0,0,0,0,0,0,0,1,1
Allergic Rhinitis,0,1,1,0,0,1,1,0,1,0
Allergic Rhinitis,0,0,0,1,0,0,0,0,0,0
Allergic Rhinitis,1,1,1,1,0,0,1,1,1,1
Allergic Rhinitis,0,1,0,0,1,0,0,1,1,1
Allergic Rhinitis,0,0,1,1,1,1,0,1,0,0
Allergic Rhinitis,1,0,1,1,0,0,0,0,0,1
Allergic Rhinitis,1,1,1,0,0,1,1,0,0,0
Allergic Rhinitis,1,1,0,1,1,1,1,0,1,1
Allergic Rhinitis,1,0,1,0,1,1,1,1,0,0
Allergic Rhinitis,1,1,0,0,0,0,1,1,0,0
Allergic Rhinitis,1,0,0,0,0,1,0,1,0,1
Allergic Rhinitis,1,1,0,1,0,1,1,1,1,0
Allergic Rhinitis,1,1,0,0,1,1,1,0,0,1
Allergic Rhinitis,1,0,0,1,1,0,0,0,1,1
Allergic Rhinitis,0,1,0,1,1,0,0,0,1,0
Allergic Rhinitis,0,0,0,1,0,0,1,0,1,0
Allergic Rhinitis,1,1,1,0,0,1,0,1,0,1
Allergic Rhinitis,1,0,1,0,0,1,1,0,0,1
